septalLength_cm,septalWidth_cm,petalLength_mm,petalWidth_cm,type
5.1,3.5,14,0.2,setosa
4.9,3,14,0.2,setosa
4.7,3.2,13,0.2,setosa
4.6,3.1,15,0.2,setosa
5,3.6,14,0.2,setosa
5.4,3.9,17,0.4,setosa
4.6,3.4,14,0.3,setosa
5,3.4,15,0.2,setosa
4.4,2.9,14,0.2,setosa
4.9,3.1,15,0.1,setosa
5.4,3.7,15,0.2,setosa
4.8,3.4,16,0.2,setosa
4.8,3,14,0.1,setosa
4.3,,11,0.1,setosa
5.8,4,12,0.2,setosa
5.7,4.4,15,0.4,setosa
5.4,3.9,13,0.4,setosa
5.1,3.5,14,0.3,setosa
5.7,3.8,17,0.3,setosa
5.1,3.8,15,0.3,setosa
5.4,3.4,17,0.2,setosa
5.1,3.7,15,0.4,setosa
4.6,3.6,10,0.2,setosa
5.1,3.3,17,0.5,setosa
4.8,3.4,19,0.2,setosa
5,3,16,0.2,setosa
5,3.4,16,0.4,setosa
5.2,3.5,15,0.2,setosa
5.2,3.4,14,0.2,setosa
4.7,3.2,16,0.2,setosa
4.8,3.1,16,0.2,setosa
5.4,3.4,15,0.4,setosa
5.2,4.1,15,0.1,setosa
5.5,4.2,14,0.2,setosa
4.9,3.1,15,0.1,setosa
5,3.2,12,0.2,setosa
5.5,3.5,13,0.2,setosa
4.9,3.1,15,0.1,setosa
4.4,3,13,0.2,setosa
5.1,3.4,15,0.2,setosa
5,3.5,13,0.3,setosa
4.5,2.3,13,0.3,setosa
4.4,3.2,13,0.2,setosa
5,3.5,16,0.6,setosa
5.1,3.8,19,0.4,setosa
4.8,3,14,0.3,setosa
5.1,3.8,16,0.2,setosa
4.6,3.2,14,0.2,setosa
5.3,3.7,15,0.2,setosa
5,3.3,14,0.2,setosa
7,3.2,47,1.4,versicolor
6.4,3.2,45,1.5,versicolor
6.9,3.1,49,1.5,versicolor
5.5,2.3,40,1.3,versicolor
6.5,2.8,46,1.5,versicolor
5.7,2.8,45,1.3,versicolor
6.3,3.3,47,1.6,versicolor
4.9,2.4,33,1,versicolor
6.6,2.9,46,1.3,versicolor
5.2,2.7,39,1.4,versicolor
5,2,35,1,versicolor
5.9,3,42,1.5,versicolor
6,2.2,40,1,versicolor
6.1,2.9,47,1.4,versicolor
5.6,2.9,36,1.3,versicolor
6.7,3.1,44,1.4,versicolor
5.6,3,45,1.5,versicolor
5.8,2.7,41,1,versicolor
6.2,2.2,45,1.5,versicolor
5.6,2.5,39,1.1,versicolor
5.9,3.2,48,1.8,versicolor
6.1,2.8,40,1.3,versicolor
6.3,2.5,49,1.5,versicolor
6.1,2.8,47,1.2,versicolor
6.4,2.9,43,1.3,versicolor
6.6,3,44,1.4,versicolor
6.8,2.8,48,1.4,versicolor
6.7,3,50,1.7,versicolor
6,2.9,45,1.5,versicolor
5.7,2.6,35,1,versicolor
5.5,2.4,38,1.1,versicolor
5.5,2.4,37,1,versicolor
5.8,2.7,39,1.2,versicolor
6,2.7,51,1.6,versicolor
5.4,3,45,1.5,versicolor
6,3.4,45,1.6,versicolor
6.7,3.1,47,1.5,versicolor
6.3,2.3,44,1.3,versicolor
5.6,3,41,1.3,versicolor
5.5,2.5,40,1.3,versicolor
5.5,2.6,44,1.2,versicolor
6.1,3,46,1.4,versicolor
5.8,2.6,40,1.2,versicolor
5,2.3,33,1,versicolor
5.6,2.7,42,1.3,versicolor
5.7,3,42,1.2,versicolor
5.7,2.9,42,1.3,versicolor
6.2,2.9,43,1.3,versicolor
5.1,2.5,30,1.1,versicolor
5.7,2.8,41,1.3,versicolor
6.3,3.3,60,2.5,virginica
5.8,2.7,51,1.9,virginica
7.1,3,59,2.1,virginica
6.3,2.9,56,1.8,virginica
6.5,3,58,2.2,virginica
7.6,3,66,2.1,virginica
4.9,2.5,45,1.7,virginica
7.3,2.9,63,1.8,virginica
6.7,2.5,58,1.8,virginica
7.2,3.6,61,2.5,virginica
6.5,3.2,51,2,virginica
6.4,2.7,53,1.9,virginica
6.8,3,55,2.1,virginica
5.7,2.5,50,2,virginica
5.8,2.8,51,2.4,virginica
6.4,3.2,53,2.3,virginica
6.5,3,55,1.8,virginica
7.7,3.8,67,2.2,virginica
7.7,2.6,69,2.3,virginica
6,2.2,50,1.5,virginica
6.9,3.2,57,2.3,virginica
5.6,2.8,49,2,virginica
7.7,2.8,67,2,virginica
6.3,2.7,49,1.8,virginica
6.7,3.3,57,2.1,virginica
7.2,3.2,60,1.8,virginica
6.2,2.8,48,1.8,virginica
6.1,3,49,1.8,virginica
6.4,2.8,56,2.1,virginica
7.2,3,58,1.6,virginica
7.4,2.8,61,1.9,virginica
7.9,3.8,64,2,virginica
6.4,2.8,56,2.2,virginica
6.3,2.8,51,1.5,virginica
6.1,2.6,56,1.4,virginica
7.7,3,61,2.3,virginica
6.3,3.4,56,2.4,virginica
6.4,3.1,55,1.8,virginica
6,3,48,1.8,virginica
6.9,3.1,54,2.1,virginica
6.7,3.1,56,2.4,virginica
6.9,3.1,51,2.3,virginica
5.8,2.7,51,1.9,virginica
6.8,3.2,59,2.3,virginica
6.7,3.3,57,2.5,virginica
6.7,3,52,2.3,virginica
6.3,2.5,50,1.9,virginica
6.5,3,52,2,virginica
6.2,3.4,54,2.3,virginica
5.9,3,51,1.8,virginica
